row_id,hw_m,hw_sum_raw,hw_recip_raw,golden_max,golden_sum_raw,golden_recip_raw,sum_err_pct,recip_err_pct,status
0,2,619708486,4,2.0,619708486.0,4.0,0.000,0.000,PASS
1,2,432562021,8,2.0,432659941.0,8.0,-0.023,0.000,PASS
2,2,638914966,4,2.0,638914966.0,4.0,0.000,0.000,PASS
3,1,615672210,4,1.0,615672210.0,4.0,0.000,0.000,PASS
4,1,611094856,4,1.0,611094856.0,4.0,0.000,0.000,PASS
5,2,628324349,4,2.0,628324349.0,4.0,0.000,0.000,PASS
6,1,613066568,4,1.0,613131848.0,4.0,-0.011,0.000,PASS
7,2,501781492,8,2.0,501814132.0,8.0,-0.007,0.000,PASS

SUMMARY,total=8,pass=8,fail=0,pass_rate_pct=100.00
